"NAME","SALE_PRICE","CATEGORY","ORIGINAL_PRICE","AVAILABILITY","COMMENTS","RATING","URL"
"Toshiba 43LF621U19 43-inch 4K Ultra HD Smart LED TV HDR - Fire TV Edition","","Electronics > Television & Video > Televisions > LED & LCD TVs","","In Stock.","1,616 customer reviews","4.0 out of 5 stars","http://www.amazon.com/dp/B07D4F2P26"
"Samsung Electronics UN32M4500A 32-Inch 720p Smart LED TV (2017 Model)","$197.99","Electronics > Television & Video > Televisions > LED & LCD TVs","$197.99","In Stock.","394 customer reviews","4.0 out of 5 stars","http://www.amazon.com/dp/B073JP6WK4"
"TCL 55S517 55-Inch 4K Ultra HD Roku Smart LED TV (2018 Model)","","Electronics > Television & Video > Televisions > LED & LCD TVs","","Currently unavailable.
        
        
    
    
    
    



    
    
         
        
        
            We don't know when or if this item will be back in stock.","407 customer reviews","4.2 out of 5 stars","http://www.amazon.com/dp/B07987KQBN"
"Samsung SM-N950UZKAXAA Galaxy Note8 (US Version) Factory Unlocked Phone - 6.3"" Screen - 64GB - Midnight Black (U.S. Warranty)","$899.00","","$899.00","Only 3 left in stock - order soon.","410 customer reviews410 customer reviews","4.0 out of 5 stars
                
            
                

4.0 out of 5 stars","http://www.amazon.com/dp/B07536MYBQ"
"Nokia 3.1 - Android One (Oreo) - 16 GB - Dual SIM Unlocked Smartphone (AT&T/T-Mobile/MetroPCS/Cricket/H2O) - 5.2"" Screen - Blue - U.S. Warranty","$159.00","Cell Phones & Accessories > Cell Phones > Unlocked Cell Phones","$159.00","In Stock.","69 customer reviews","3.9 out of 5 stars","http://www.amazon.com/dp/B07DDD8PNQ"
"Apple iPhone 7 32GB Unlocked, Black US Version","$474.95","Cell Phones & Accessories > Cell Phones > Unlocked Cell Phones","$474.95","In Stock.","192 customer reviews","3.8 out of 5 stars","http://www.amazon.com/dp/B01LYT95XR"
"Microsoft Surface Pro 6 (Intel Core i5, 8GB RAM, 256GB) - Newest Version","$999.00","Electronics > Computers & Accessories > Computers & Tablets > Tablets","$999.00","In Stock.","14 customer reviews","5.0 out of 5 stars","http://www.amazon.com/dp/B07HZNKGDV"
"2018 Newest Flagship Lenovo IdeaPad 330 15.6"" HD Anti-glare Laptop, Intel Quad-Core Celeron N4100 4GB RAM 500GB HDD DVDRW 802.11ac HDMI Bluetooth Webcam USB 3.0 Win 10","$245.98","Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops","$245.98","Only 13 left in stock - order soon.","30 customer reviews","3.4 out of 5 stars","http://www.amazon.com/dp/B07DN2JG5T"
"2018 Premium Dell G5 15 5587 15.6 Inch FHD Gaming Laptop (Intel Core i7-8750H, 4GB/8GB/16GB/32GB RAM, 128GB to 1TB SSD Plus 1TB/2TB HHD, GTX 1050TI 4GB, Backlit Keyboard, HDMI, Windows 10) Black/Red","$999.00","Electronics > Computers & Accessories > Computers & Tablets > Laptops > Traditional Laptops","$999.00","Only 12 left in stock - order soon.","1 customer review","4.0 out of 5 stars","http://www.amazon.com/dp/B07GM4VHNP"
"Panasonic Microwave Oven NN-SN651B Black Countertop with Inverter Technology and Genius Sensor, 1.2 Cu. Ft, 1200W","$133.96","Home & Kitchen > Kitchen & Dining > Small Appliances > Microwave Ovens > Countertop Microwave Ovens","$133.96","In Stock.","1,208 customer reviews","4.0 out of 5 stars","http://www.amazon.com/dp/B00FRD0PNC"
"Midea WHD-113FW1 Compact Reversible Double Door Refrigerator and Freezer, 3.1 Cubic Feet, White","","Home & Kitchen > Kitchen & Dining > Small Appliances > Compact Refrigerators","","Available from these sellers.","1,605 customer reviews1,605 customer reviews","3.9 out of 5 stars
                
            
                

3.9 out of 5 stars","http://www.amazon.com/dp/B00MVVIMTW"
"Honeywell HCE323V Digital Ceramic Heater","$59.99","Home & Kitchen > Heating, Cooling & Air Quality > Space Heaters & Accessories","$59.99","In Stock.","409 customer reviews409 customer reviews","3.8 out of 5 stars
                
            
                

3.8 out of 5 stars","http://www.amazon.com/dp/B00KNBKB64"
